season,x,y,made_shot
2003-04,153,192,0
2003-04,0,253,0
2003-04,0,0,1
2003-04,161,186,1
2003-04,-126,61,0
2003-04,-177,-3,0
2003-04,0,0,0
2003-04,-57,141,0
2003-04,0,0,1
2003-04,-171,100,0
2003-04,-107,35,0
2003-04,0,0,0
2003-04,0,0,1
2003-04,-148,86,0
2003-04,-35,15,0
2003-04,-31,63,0
2003-04,-238,15,1
2003-04,-41,41,0
2003-04,23,28,0
2003-04,0,0,1
2003-04,-5,253,0
2003-04,0,0,1
2003-04,23,171,0
2003-04,0,252,0
2003-04,-140,224,0
2003-04,0,0,0
2003-04,62,224,0
2003-04,0,0,1
2003-04,0,0,0
2003-04,-163,100,0
2003-04,169,17,0
2003-04,-6,61,0
2003-04,-240,31,0
2003-04,0,0,0
2003-04,80,-3,0
2003-04,-107,230,0
2003-04,108,160,0
2003-04,3,0,1
2003-04,-85,161,0
2003-04,1,0,1
2003-04,136,156,1
2003-04,-10,146,0
2003-04,77,110,0
2003-04,-5,0,1
2003-04,-184,-29,0
2003-04,-36,248,0
2003-04,-25,-1,1
2003-04,120,94,0
2003-04,-149,36,1
2003-04,72,145,0
2003-04,-115,-3,0
2003-04,-112,36,1
2003-04,-118,63,0
2003-04,158,-19,0
2003-04,181,-19,1
2003-04,69,179,0
2003-04,146,-26,1
2003-04,149,17,0
2003-04,-87,130,0
2003-04,-200,-11,1
2003-04,-5,12,0
2003-04,54,-5,1
2003-04,-8,-1,1
2003-04,95,86,0
2003-04,-5,3,0
2003-04,-51,17,1
2003-04,-29,22,0
2003-04,-87,22,1
2003-04,0,0,0
2003-04,1,63,1
2003-04,-237,-18,1
2003-04,135,362,0
2003-04,179,33,0
2003-04,-107,107,1
2003-04,131,-14,0
2003-04,138,114,0
2003-04,-26,10,0
2003-04,-136,-34,0
2003-04,-164,25,1
2003-04,135,71,1
2003-04,169,-23,0
2003-04,165,-10,0
2003-04,158,192,0
2003-04,0,-9,1
2003-04,5,125,0
2003-04,153,-16,0
2003-04,-145,166,1
2003-04,-199,-29,1
2003-04,-2,0,1
2003-04,10,0,0
2003-04,1,1,1
2003-04,-232,-26,0
2003-04,-1,164,0
2003-04,3,148,1
2003-04,102,-3,1
2003-04,-156,158,1
2003-04,236,54,0
2003-04,5,242,1
2003-04,151,49,0
2003-04,159,-26,0
2003-04,176,168,0
2003-04,-6,-3,1
2003-04,-6,257,0
2003-04,90,26,1
2003-04,38,26,1
2003-04,-10,127,0
2003-04,10,-5,1
2003-04,-235,5,0
2003-04,227,76,0
2003-04,0,20,1
2003-04,197,-18,1
2003-04,6,12,1
2003-04,-187,-24,1
2003-04,11,-3,1
2003-04,5,10,1
2003-04,-191,115,0
2003-04,98,-1,0
2003-04,-11,-11,1
2003-04,-159,204,0
2003-04,115,59,1
2003-04,66,17,0
2003-04,-108,122,0
2003-04,-20,20,0
2003-04,-120,-19,1
2003-04,-67,22,0
2003-04,-172,-21,1
2003-04,-107,217,1
2003-04,11,58,0
2003-04,126,10,0
2003-04,-126,-29,0
2003-04,158,-28,0
2003-04,-227,95,0
2003-04,-123,128,1
2003-04,135,-16,0
2003-04,107,-6,1
2003-04,61,-3,0
2003-04,163,219,1
2003-04,-204,169,0
2003-04,-168,148,1
2003-04,146,120,1
2003-04,0,0,1
2003-04,-3,110,0
2003-04,105,-31,0
2003-04,-191,164,1
2003-04,-6,54,0
2003-04,0,0,0
2003-04,0,0,1
2003-04,117,155,0
2003-04,0,0,1
2003-04,0,0,1
2003-04,-240,-3,1
2003-04,135,217,0
2003-04,0,0,1
2003-04,149,8,0
